typoID,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,All
amsterdam1847,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
amsterdam1849,0,0,0,6,22,0,0,0,0,16,13,13,0,12,9,7,4,6,0,0,0,0,108
amsterdam1857-1,0,0,0,0,0,0,0,0,0,0,12,18,7,29,20,19,0,12,0,0,0,0,117
arnhem1849,0,0,0,0,0,0,0,0,4,0,0,11,0,0,0,0,0,0,0,0,2,8,25
denbosch1849,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
gorinchem1856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5
haarlem1851,0,0,0,0,25,4,0,0,0,0,12,0,8,4,10,0,0,0,0,0,0,0,63
leiden1854,0,0,0,0,0,0,0,0,0,0,0,6,0,9,9,0,6,7,0,0,0,0,37
middelburg1847,2,3,8,2,4,6,10,6,6,6,6,2,5,4,3,15,0,0,0,0,0,0,88
utrecht1851,0,0,0,0,1,32,33,22,18,1,16,14,16,28,6,9,9,0,10,6,15,10,246
All,14,3,8,8,52,42,44,28,28,23,59,64,36,86,57,55,19,25,10,6,17,18,702
